Collection,Number,Species,Ecomorph,Ground,Region,SVL,TL,HL,SL,HW,Humerus,Radius,Hand,Femur,Tibia,Foot,Finger.III.W,Toe.III.W
USNM,497948,ahli,Trunk Ground,Trunk Ground,Caribbean,51.8,80.3,14.4,6.4,8.8,8.5,8.2,9.4,12.5,14.7,19.8,1,1.1
USNM,497949,ahli,Trunk Ground,Trunk Ground,Caribbean,60.5,97.4,16.7,7.2,10.1,10.4,9.2,10.7,14.6,16.7,23.5,1.1,1.4
MCZ,178768,alayoni,Twig,Twig,Caribbean,44.4,42.87,13.65,6.67,7.47,4.85,5.25,6,7.22,8.14,11.26,0.93,1.11
USNM,314195,alfaroi,Grass Bush,Grass Bush,Caribbean,34.84,90.99,10.22,5.36,4.75,4.13,3.82,4.48,8.58,8.87,10.69,0.48,0.66
USNM,314278,aliniger,Trunk Crown,Trunk Crown,Caribbean,46.6,,14.2,6.9,8.5,7,6.9,7.6,8.9,10,14,1.1,1.3
MVZ,215932,aliniger,Trunk Crown,Trunk Crown,Caribbean,55.5,99,17,8,10,8.4,7.4,9.2,10.3,11.6,16.8,1.3,1.5
USNM,314273,aliniger,Trunk Crown,Trunk Crown,Caribbean,55.8,,16.8,8.1,10,7.6,7.7,8.3,9.9,12,15.7,1.4,1.6
MVZ,241226,allisoni,Trunk Crown,Trunk Crown,Caribbean,72.4,,23.87,11.92,12.19,9.55,9.17,11.06,13.38,14.76,19.14,1.89,2.23
MVZ,241225,allisoni,Trunk Crown,Trunk Crown,Caribbean,77.25,140.01,25.31,12.77,12.44,9.68,9.59,11.82,13.77,15.65,21.2,2.11,2.2
USNM,497966,allogus,Trunk Ground,Trunk Ground,Caribbean,59.51,92.69,16.38,6.83,10.18,9.63,9.62,10.23,14.67,16.36,21.23,1.06,1.27
MCZ,79368,altavelensis,Trunk,Trunk,Caribbean,51.8,78.26,13.75,6.29,8.65,8.08,8.27,8.46,10.78,12.16,15.69,1.21,1.54
MCZ,140111,alumina,Grass Bush,Grass Bush,Caribbean,38.82,93.81,10.67,5.09,5.32,4.83,4.77,5.43,9.39,9.93,13.96,0.56,0.68
USNM,497980,alutaceus,Grass Bush,Grass Bush,Caribbean,33.2,87.4,9.4,4.5,5,4.3,3.8,4.4,8.1,8.6,11.7,0.6,0.5
