Species,Ecomorph,Ground
ahli,Trunk Ground,Trunk Ground
alayoni,Twig,Twig
alfaroi,Grass Bush,Grass Bush
aliniger,Trunk Crown,Trunk Crown
allisoni,Trunk Crown,Trunk Crown
allogus,Trunk Ground,Trunk Ground
altavelensis,Trunk,Trunk
alumina,Grass Bush,Grass Bush
alutaceus,Grass Bush,Grass Bush
amplisquamosus,Mainland,Mainland
angusticeps,Twig,Twig
apletophallus,Mainland,Mainland
aquaticus,Mainland,Mainland
argenteolus,Unknown,Unknown
armouri,Trunk Ground,Trunk Ground
auratus,Mainland,Mainland
bahorucoensis,Grass Bush,Grass Bush
barahonae,Crown Giant,Crown Giant
barbatus,Unknown,Unknown
barbouri,Unknown,Ground
bartschi,Unknown,Unknown
beckeri,Mainland,Mainland
benedikti,Mainland,Mainland
bicaorum,Mainland,Mainland
biporcatus,Mainland,Mainland
bombiceps,Mainland,Ground
boulengerianus,Mainland,Mainland
brasiliensis,Mainland,Ground
bremeri,Trunk Ground,Trunk Ground
brevirostris,Trunk,Trunk
campbelli,Mainland,Mainland
capito,Mainland,Mainland
caudalis,Trunk,Trunk
chamaeleonides,Unknown,Unknown
charlesmyersi,Mainland,Mainland
chlorocyanus,Trunk Crown,Trunk Crown
christophei,Unknown,Unknown
chrysolepis,Mainland,Ground
cobanensis,Mainland,Mainland
coelestinus,Trunk Crown,Trunk Crown
concolor,Mainland,Mainland
conspersus,Trunk Ground,Trunk Ground
cooki,Trunk Ground,Trunk Ground
cristatellus,Trunk Ground,Trunk Ground
cryptolimifrons,Mainland,Mainland
cupeyalensis,Grass Bush,Grass Bush
cupreus,Mainland,Mainland
cuvieri,Crown Giant,Crown Giant
darlingtoni,Twig,Twig
desechensis,Trunk Ground,Trunk Ground
distichus,Trunk,Trunk
dolichocephalus,Grass Bush,Grass Bush
dollfusianus,Mainland,Mainland
dunni,Mainland,Mainland
equestris,Crown Giant,Crown Giant
ernestwilliamsi,Trunk Ground,Trunk Ground
etheridgei,Unknown,Unknown
eugenegrahami,Unknown,Unknown
evermanni,Trunk Crown,Trunk Crown
fuscoauratus,Mainland,Mainland
gadovii,Mainland,Mainland
gaigei,Mainland,Mainland
garmani,Crown Giant,Crown Giant
garridoi,Twig,Twig
gracilipes,Mainland,Mainland
grahami,Trunk Crown,Trunk Crown
granuliceps,Mainland,Mainland
gundlachi,Trunk Ground,Trunk Ground
hendersoni,Grass Bush,Grass Bush
heteropholidotus,Mainland,Mainland
hispaniolae,Trunk Ground,Trunk Ground
hobartsmithi,Mainland,Mainland
homolechis,Trunk Ground,Trunk Ground
humilis,Mainland,Ground
insolitus,Twig,Twig
isolepis,Unknown,Unknown
juangundlanchi,Grass Bush,Grass Bush
jubar,Trunk Ground,Trunk Ground
kemptoni,Mainland,Mainland
koopmani,Grass Bush,Grass Bush
kreutzi,Mainland,Mainland
krugi,Grass Bush,Grass Bush
laeviventris,Mainland,Mainland
lemurinus,Mainland,Mainland
