Species,Ecomorph,Predicted,LDA,C1,C2,C3
altavelensis,U,Tr,0.996,0.25,0.319,0.192
amplisquamosus,M,GB,0.917,0.447,0.541,NA
apletophallus,M,TG,0.996,0.365,0.429,NA
auratus,M,GB,1,0.387,0.495,0.227
barbouri,U,GB,0.994,0.329,0.448,0.188
barkeri,M,TG,0.999,0.347,0.412,NA
benedikti,M,TG,1,0.277,0.349,0.186
bicaorum,M,TG,1,0.31,0.382,0.258
boulengerianus,M,TG,0.97,0.26,0.337,0.19
charlesmyersi,M,Tw,0.999,0.473,0.614,0.276
concolor,M,TG,0.991,0.235,0.327,0.219
cristifer,M,Tw,0.986,0.64,0.757,0.282
dunni,M,TG,0.991,0.226,0.312,0.102
ernestwilliamsi,U,TG,0.998,0.352,0.417,0.219
fuscoauratus,M,GB,0.965,0.369,0.481,0.246
gadovii,M,TG,1,0.296,0.372,0.258
imias,U,TG,0.986,0.361,0.419,0.254
isolepis,U,Tw,1,0.452,0.587,0.182
johnmeyeri,M,TG,0.986,0.161,0.278,0.173
kemptoni,M,TC,0.982,0.343,0.437,0.213
lemurinus,M,TG,0.999,NA,0.434,NA
liogaster,M,TG,0.988,NA,0.43,0.178
longitibialis,U,TG,0.999,NA,0.431,NA
loveridgei,M,CG,0.929,0.349,0.439,0.23
lyra,M,TG,0.999,0.361,0.421,0.259
macrolepis,M,TG,1,0.361,0.421,0.23
magnaphallus,M,TG,1,0.27,0.349,0.2
mariarum,M,TG,0.964,NA,NA,0.256
matudai,M,TG,1,0.167,0.276,0.057
milleri,M,TG,1,NA,NA,0.263
morazani,M,GB,0.98,0.474,0.548,0.21
muralla,M,GB,0.915,0.443,0.53,0.225
nebulosus,M,TG,0.942,0.264,0.341,0.169
pijolense,M,TG,1,0.228,0.32,0.206
pinchoti,M,TG,1,0.27,0.351,0.242
poecilopus,M,TG,1,0.213,0.306,0.169
pogus,U,GB,0.998,0.457,0.537,0.289
osa,M,TG,1,0.344,0.412,0.267
purpurgularis,M,TG,0.959,0.245,0.332,0.227
reconditus,U,TG,1,NA,NA,0.206
rivalis,M,TG,1,0.292,0.364,0.172
roatanensis,M,TG,1,0.236,0.328,0.162
rubribarbaris,M,TC,0.999,NA,0.482,0.251
salvini,M,Tw,0.998,0.498,0.622,0.339
scriptus,U,TG,0.999,NA,NA,0.253
shrevei,U,TG,0.997,0.211,0.308,0.153
strahmi,U,TG,1,NA,0.432,0.236
subocularis,M,TG,1,0.366,0.427,NA
taylori,M,TG,0.998,0.249,0.334,0.192
townsendi,M,TG,0.998,0.273,0.351,0.233
tropidolepis,M,TG,0.968,0.358,0.424,NA
mccraniei,M,TG,1,0.332,0.397,NA
vermiculatus,U,CG,0.996,0.377,0.447,0.122
wattsi,U,TG,0.988,0.259,0.343,0.169
