Species,Ecomorph,DFA,C1,C3,Match
aquaticus,M,G/TG,G/TG,TG/G,G/TG
barbatus,U,Tw/CG,CG/Tw,Tw/CG,Tw/CG
barkeri,M,TG/G,TG/G,TG/Tr,TG/G
bicaorum,M,G/TG,TG/G,G/TG,G/TG
biporcatus,M,TG/CG,CG/TG,CG/TG,TG/CG
brunneus,U,TC/Tw,TC/Tw,TC/Tw,TC/Tw
cobanensis,M,G/TG,TG/G,TG/G,G/TG
cusuco,M,TC/Tr,Tr/TC,TC/Tr,TC/Tr
desechensis,U,TG/TC,TG/TC,TG/TC,TG/TC
fuscoauratus,M,G/GB,GB/G,GB/G,G/GB
gadovii,M,TG/G,TG/G,TG/TC,TG/G
macrolepis,M,TG/G,TG/G,TG/G,TG/G
maculiventris,M,G/TG,G/TG,G/GB,G/TG
monensis,U,TG/Tr,TG/Tr,TG/TC,TG/Tr
monticola,U,GB/G,G/GB,GB/G,GB/G
oxylophus,M,TG/G,TG/G,TG/G,TG/G
petersii,M,TC/CG,CG/TC,CG/TC,TC/CG
roatanensis,M,TG/G,TG/G,TG/GB,TG/G
schwartzi,U,G/TG,G/TG,G/Tr,G/TG
serranoi,M,G/TG,TG/G,TG/G,G/TG
tolimensis,M,G/TG,TG/G,TG/Tr,G/TG
mccraniei,M,G/TG,G/TG,TG/G,G/TG
vittigerus,M,G/TG,TG/G,TG/GB,G/TG
woodi,M,G/TG,TG/G,TG/G,G/TG
